title,overview,release_date,year,top_genre
The Incredible Shrinking Man,"While on a boating trip, Scott Carey is exposed to a radioactive cloud. Nothing seems amiss at first, but several months later Scott realizes that he's shrunk in height by several inches. He sees a doctor, who admits that he's baffled. As Scott continues to shrink, decreasing to three feet tall, he becomes bitter, and lashes out at his wife, Louise. He begins to fear a cure will never be found -- since even as he becomes a national sensation, he's still shrinking.",1957-02-22,1957,Horror
Braindead,"When a Sumatran rat-monkey bites Lionel Cosgrove's mother, she's transformed into a zombie and begins killing (and transforming) the entire town while Lionel races to keep things under control.",1992-08-13,1992,Horror
Wait Until Dark,"After a flight back home, Sam Hendrix returns with a doll he innocently acquired along the way. As it turns out, the doll is actually stuffed with heroin, and a group of criminals led by the ruthless Roat has followed Hendrix back to his place to retrieve it. When Hendrix leaves for business, the crooks make their move -- and find his blind wife, Susy, alone in the apartment. Soon, a life-threatening game begins between Susy and the thugs.",1967-10-26,1967,Horror
Séance,A psychic housewife and her husband become burdened with a kidnapped girl who escaped her assailant. Junko will not let her husband call the hospital or the police for purely selfish reasons. The girl dies while still in their house and her ghost begins to haunt the couple.,2000-08-07,2000,Horror
Ghosts,"The story of a scary Maestro with supernatural powers, who is being forced out of a small town by its mayor. Included are a series of dance routines performed by Michael Jackson and his ""family"" of ghouls. Every song from the film was taken from Michael Jackson's HIStory and Blood on the Dance Floor albums.",1997-09-04,1997,Horror
Gogol. A Terrible Vengeance,"Soon after Gogol's death, Binh names him guilty for the deaths of the Cossacks and the young women at the hands of the Dark Horseman, since he was the one who ordered them to be hidden in the barn. Bomgart is unable to perform a post-mortem analysis on the Gogol's body, while Vakula's daughter Vasilina (who secretly has magic abilities) proclaims denial about Gogol's demise.",2018-08-30,2018,Horror
Jacob's Ladder,A traumatized Vietnam war veteran finds out that his post-war life isn't what he believes it to be when he's attacked by horned creatures in the subway and his dead son comes to visit him...,1990-11-02,1990,Horror
Strange Circus,"The erotic novelist Taeko is writing a morbid story of a family destroyed by incest, murder and abuse. Her assistant, Yuji, sets on a mission to uncover the reality of this story, but the reality might be too much to bear.",2005-12-24,2005,Horror
The Sandman,A young child and his mother face a visit from the terrifying sandman.,1991-01-01,1991,Horror
"Sorgoï Prakov, my european dream","A journalist from an Eastern European country arrives in Paris to start a tour of European capitals. His intention is to make a documentary about the European dream. Between fascination and difficulty of adaptation, Sorgoï struggles to complete his project and his expedition drives him to a devastating state of madness.",2013-10-02,2013,Horror
Man Bites Dog,"The activities of rampaging, indiscriminate serial killer Ben are recorded by a willingly complicit documentary team, who eventually become his accomplices and active participants. Ben provides casual commentary on the nature of his work and arbitrary musings on topics of interest to him, such as music or the conditions of low-income housing, and even goes so far as to introduce the documentary crew to his family. But their reckless indulgences soon get the better of them.",1992-05-01,1992,Horror
Bewitched,"While possessed by an evil spirit, a man murders his daughter. A police detective investigating the case also becomes possessed. A good monk helps fight the evil spirit.",1981-09-11,1981,Horror
Jennifer,"Ostracized at a snooty private school because of her rural, poor background, a scholarship student is tormented to the point where her only remaining recourse is revenge, using the only method she knows: her psychic control over snakes!",1978-05-13,1978,Horror
The Pied Piper,"A darkly brilliant stop-motion adaptation of The Pied Piper of Hamelin about a plague of rats that punish townsfolk corrupt with greed.  One of Czechoslovakia's most ambitious animation projects of the 1980s, notable for its unusual dark art direction, innovative animation techniques and use of a fictitious language",1986-09-01,1986,Horror
Sweeney Todd: The Demon Barber of Fleet Street,"Times are hard in 1846 London and one must make do. Nellie Lovett adds something extra to the meat pies she peddles on Fleet Street. The secret ingredient: freshly murdered victims of her partner in crime, barber Sweeney Todd. Composer/lyricist Stephen Sondheim refashions a macabre tale into a musical masterwork in this dazzling performance of the 1979 Broadway hit originally staged by Harold Prince. In her Tony-winning role, Angela Lansbury plays Nellie. George Hearn turns his stage role of twisted Sweeney into an Emmy-winning triumph. The score coils around itself in every-tightening spirals. The lines ripple with black humor and madness. Enter Sweeney's tonsorial parlor. Attend the tale.",1982-09-12,1982,Horror
Possession,"A young woman left her family for an unspecified reason. The husband determines to find out the truth and starts following his wife. At first, he suspects that a man is involved. But gradually, he finds out more and more strange behaviors and bizarre incidents that indicate something more than a possessed love affair.",1981-05-27,1981,Horror
Dracula,"When Dracula leaves the captive Jonathan Harker and Transylvania for London in search of Mina Harker—the reincarnation of Dracula's long-dead wife, Elisabeta—obsessed vampire hunter Dr. Van Helsing sets out to end the madness.",1992-11-13,1992,Horror
The Devil's Advocate,A hotshot lawyer gets more than he bargained for when he learns his new boss is Lucifer himself.,1997-10-17,1997,Horror
Funny Games,"Two psychotic young men take a mother, father, and son hostage in their vacation cabin and force them to play sadistic ""games"" with one another for their own amusement.",1997-05-14,1997,Horror
Don't Hug Me I'm Scared 3,,2014-10-31,2014,Horror
Cure,"A wave of gruesome murders is sweeping Tokyo. The only connection is a bloody X carved into the neck of each of the victims. In each case, the murderer is found near the victim and remembers nothing of the crime. Detective Takabe and psychologist Sakuma are called in to figure out the connection, but their investigation goes nowhere...",1997-11-06,1997,Horror
The Skeleton Dance,"The clock strikes midnight, the bats fly from the belfry, a dog howls at the full moon, and two black cats fight in the cemetery: a perfect time for four skeletons to come out and dance a bit.",1929-08-21,1929,Horror
Saw,"Obsessed with teaching his victims the value of life, a deranged, sadistic serial killer abducts the morally wayward. Once captured, they must face impossible choices in a horrific game of survival. The victims must fight to win their lives back, or die trying...",2004-10-01,2004,Horror
American Psycho,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.",2000-04-13,2000,Horror
Upgrade,"A brutal mugging leaves Grey Trace paralyzed in the hospital and his beloved wife dead. A billionaire inventor soon offers Trace a cure — an artificial intelligence implant called STEM that will enhance his body. Now able to walk, Grey finds that he also has superhuman strength and agility — skills he uses to seek revenge against the thugs who destroyed his life.",2018-06-01,2018,Horror
Rubber's Lover,"A powerful and secretive corporation is conducting underground psychic experiments utilizing Digital Direct Drive, otherwise known as DDD. While under the influence of the drug ether, the human subjects are outfitted in rubber suits and bombarded with DDD with extremely intense sound. Though the experiments are successful in unleashing psychic powers in the test subjects, the results are usually fatal. As a result, the corporation attempts to shut down the experiments against the wishes of Motomiya and Hitotsubashi who are in charge of the research. In a desperate attempt to salvage their work, the two researchers take over the lab and hold an innocent secretary hostage while they transform their fellow researcher into an ether addict and use him as the final human guinea pig for their experiments. The result has to be seen to be believed as his psychic powers are unleashed in a wave of ferocity that will leave you breathless.",1996-09-28,1996,Horror
Vampire Hunter D: Bloodlust,"D has been hired to track down Meier Link, a notoriously powerful vampire who has abducted a woman, Charlotte Elbourne. D's orders are strict - find Charlotte, at any cost. For the first time, D faces serious competition. The Markus Brothers, a family of Vampire Hunters, were hired for the same bounty. D Must intercept Meier and conquer hostile forces on all sides in a deadly race against time.",2000-08-25,2000,Horror
Survive Style 5+,A man continually trying and failing to get his wife to stay dead; a self-absorbed ad agency creative director who comes up with one unworkably inane idea after another; a British hitman who only wants to know everyone's function in life; and an unfortunate office worker and father whose brain is left scrambled after a stage hypnotist is murdered in mid-performance.,2004-09-25,2004,Horror
Martyrs,"A young woman’s quest for revenge against the people who kidnapped and tortured her as a child leads her and her best friend, also a victim of child abuse, on a terrifying journey into a living hell of depravity.",2008-09-03,2008,Horror
Thesis,"While doing a thesis about violence, Ángela finds a snuff video where a girl is tortured until death. Soon she discovers that the girl was a former student in her faculty...",1996-04-11,1996,Horror
Anandabhadram,"In the ancient village of Shivapuram, little Ananthan hears a tale from his mother, Gayathri (Revathi). She tells him that his family comes from a line of powerful magicians, and they are responsible for protecting nagamanikyam, a jewel on a serpent's head. The jewel, she narrates, lies in a secret place in the house guarded by snakes, including a tiny snake called Kunjootan.  Years later, obeying the wishes of his dead mother, Ananthan (Prithviraj Sukumaran) returns to his ancestral village to light the lamps at Shivakavu, a dark and mysterious temple of Shiva.",2005-11-03,2005,Horror
The Man Who Laughs,"Gwynplaine, son of Lord Clancharlie, has a permanent smile carved on his face by the King, in revenge for Gwynplaine's father's treachery. Gwynplaine is adopted by a travelling showman and becomes a popular idol. He falls in love with the blind Dea. The king dies, and his evil jester tries to destroy or corrupt Gwynplaine.",1928-04-27,1928,Horror
Bedevilled,"A woman subject to mental, physical, and sexual abuse on a remote island seeks a way out.",2010-08-19,2010,Horror
Pee Mak Phrakanong,"Some time during the Rattanakosin Kingdom, Mak becomes a soldier and has to leave his pregnant wife Nak  at home in Phra Khanong. In the distant frontline he meets four soldiers who become his best friends. Menwhile his wife Nak struggles to give birth to their baby alone.  When the war is over, Mak invites his friends to go to his home and meet his beautiful wife Nak. But in Phra Khanong the rumor goes around town that Nak is a ghost. After a series of uncanny events his four friends and some villagers try to tell Mak that his wife is already dead.",2013-03-28,2013,Horror
Tucker and Dale vs. Evil,"Two hillbillies are suspected of being killers by a group of paranoid college kids camping near the duo's West Virginian cabin. As the body count climbs, so does the fear and confusion as the college kids try to seek revenge against the pair.",2010-01-22,2010,Horror
Lights Out,"A woman prepares for bed, but realizes that something may be lurking in the shadows.",2013-12-30,2013,Horror
The House with Laughing Windows,"A young restorer is commissioned to save a fresco representing the suffering of St. Sebastiano, which was painted on the wall of a local church by a mysterious, long-dead artist.",1976-08-16,1976,Horror
Fist of Jesus,"When Jacob tells Jesus that his son, Lazarus, is dead, Jesus goes to his home to resurrect him. Only, this is the first time that Jesus has ever tried to bring back someone from the dead. You do not always get it right the first time. What follows is a gore-tastic nine minutes of Biblical splatter violence and comedy. Even our Lord and Savior goofs up once and a while. But he makes amends. Big time.",2012-06-05,2012,Horror
U Turn,"When a flyover in the city becomes the hotbed of accidents, a young reporter decides to investigate the issue. Her quest for an answer would lead her into a web of intrigue, murder and mystery.",2016-05-20,2016,Horror
The Omen,"Immediately after their miscarriage, the US diplomat Robert Thorn adopts the newborn Damien without the knowledge of his wife. Yet what he doesn’t know is that their new son is the son of the devil.",1976-06-06,1976,Horror
The Tell-Tale Heart,"One of the most discussed and imaginative cartoons of any era. It tells the famous Edgar Allan Poe story of the deranged boarder who had to kill his landlord, not for greed, but because he possessed an ""evil eye."" The killer is never seen but his presence is felt by the use light-and-shadow to give the impression of impending disaster.",1953-12-17,1953,Horror
The Evil Dead,"When a group of college students finds a mysterious book and recording in the old wilderness cabin they've rented for the weekend, they unwittingly unleash a demonic force from the surrounding forest.",1981-10-15,1981,Horror
Angst,"A killer is released from prison and breaks into a remote home to kill a woman, her handicapped son and her pretty daughter.",1983-01-01,1983,Horror
Count Dracula,"For those familiar with Bram Stoker's novel, this adaptation follows the book quite closely in most respects. Jonathan Harker visits the Count in Transylvania to help him with preparations to move to England. Harker becomes Dracula's prisoner and discovers Dracula's true nature. After Dracula makes his way to England, Harker becomes involved in an effort to track down and destroy the Count, eventually chasing the vampire back to his castle.",1977-12-22,1977,Horror
The Kingdom II,"The series is set in the neurosurgical ward of Copenhagen's Rigshospitalet, the city and country's main hospital, nicknamed ""Riget"". ""Riget"" means ""the realm"" or ""the kingdom"" and leads one to think of ""dødsriget"", the realm of the dead.",1997-11-01,1997,Horror
An American Werewolf in London,Two American tourists in England are attacked by a werewolf that none of the locals will admit exists.,1981-08-21,1981,Horror
The Haunting,"Dr. Markway, doing research to prove the existence of ghosts, investigates Hill House, a large, eerie mansion with a lurid history of violent death and insanity.",1963-08-21,1963,Horror
Down to the Cellar,"A little girl goes down to the basement cellar to fetch some potatoes, and finds all her hidden fears about the cellar depicted in animated form.",1983-10-31,1983,Horror
Interview with the Vampire,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.",1994-11-11,1994,Horror
The Texas Chain Saw Massacre,"When Sally hears that her grandfather's grave may have been vandalized, she and her paraplegic brother, Franklin, set out with their friends to investigate. After a detour to their family's old farmhouse, they discover a group of crazed, murderous outcasts living next door. As the group is attacked one by one by the chainsaw-wielding Leatherface, who wears a mask of human skin, the survivors must do everything they can to escape.",1974-10-01,1974,Horror
A Quiet Place,A family is forced to live in silence while hiding from creatures that hunt by sound.,2018-04-03,2018,Horror
Videodrome,"As the president of a trashy TV channel, Max Renn is desperate for new programming to attract viewers. When he happens upon ""Videodrome,"" a TV show dedicated to gratuitous torture and punishment, Max sees a potential hit and broadcasts the show on his channel. However, after his girlfriend auditions for the show and never returns, Max investigates the truth behind Videodrome and discovers that the graphic violence may not be as fake as he thought.",1983-02-04,1983,Horror
A Page of Madness,A man takes a job at an asylum with hopes of freeing his imprisoned wife.,1926-09-24,1926,Horror
Going to Pieces: The Rise and Fall of the Slasher Film,"This historical and critical look at slasher films, which includes dozens of clips, begins with Halloween, Friday the 13th, and Prom Night. The films' directors, writers, producers, and special effects creators comment on the films' making and success. During the Reagan years, the films get gorier, budgets get smaller, and their appeal wanes. Then, Nightmare on Elm Street revives the genre. Jump to the late 90s, when Scream brings humor and TV stars into the mix.",2006-10-13,2006,Horror
Dead of Night,"Architect Walter Craig, seeking the possibility of some work at a country farmhouse, soon finds himself once again stuck in his recurring nightmare. Dreading the end of the dream that he knows is coming, he must first listen to all the assembled guests' own bizarre tales.",1945-09-04,1945,Horror
Army of Darkness,"A man is accidentally transported to 1300 A.D., where he must battle an army of the dead and retrieve the Necronomicon so he can return home.",1992-10-09,1992,Horror
What We Do in the Shadows: Interviews with Some Vampires,Three vampires who share an apartment are interviewed by a TV crew.,2005-01-01,2005,Horror
The Return of the Living Dead,"When a bumbling pair of employees at a medical supply warehouse accidentally release a deadly gas into the air, the vapors cause the dead to re-animate as they go on a rampage seeking their favorite food: brains!",1985-04-25,1985,Horror
I REC U,"19 years old Neve sees women out of focus - but he can see them properly when they are recorded on magnetic tape or film. This is why he wears a special pair of camera-glasses which, recording every single moment of his life, allow him to see everything correctly. His life actually becoming one of the movies he has been watching since he was a child. Until the day he meets the one and only woman he can see at naked eye.",2015-09-25,2015,Horror
The Wicker Man,"Police sergeant Neil Howie is called to an island village in search of a missing girl whom the locals claim never existed. Stranger still, however, are the rituals that take place there.",1973-12-01,1973,Horror
The Devil's Backbone,"After losing his father, 10-year-old Carlos arrives at the Santa Lucia School, which shelters orphans of the Republican militia and politicians, and is taken in by the steely headmistress, Carmen, and the kindly professor, Casares. Soon after his arrival, Carlos has a run-in with the violent caretaker, Jacinto. Gradually, Carlos uncovers the secrets of the school, including the youthful ghost that wanders the grounds.",2001-04-20,2001,Horror
Digimon Adventure 02: Revenge of Diaboromon,"In this movie, that takes place three months after MaloMyotismon's defeat, the DigiDestined go up against Diaboromon again. Tai and Matt head back to the Internet to deal with him with Omnimon, while the younger Chosen Children go to deal with the rampage of a swarm of Kuramon (Diaboromon's Fresh form). With the help of Angemon and Angewomon (with T.K. and Kari), Omnimon was able to destroy Diaboromon again, but it turned out to be a trap, as his destruction allowed many more Kuramon to go to the Real World. Things go out of control when the Kuramon in the Real World merge to create a Mega level called Armageddemon, an alternate Mega in Diaboromon's evolutionary line. It is so powerful that neither Omnimon nor Imperialdramon were able to defeat it on their own.",2001-03-03,2001,Horror
Dr. Jekyll and Mr. Hyde,"Based on the story by Robert Louis Stevenson, Dr. Henry Jekyll believes that there are two distinct sides to men - a good and an evil side. He believes that by separating the two, man can become liberated. He succeeds in his experiments with chemicals to accomplish this and transforms into Hyde to commit horrendous crimes. When he discontinues use of the drug, it is already too late.",1932-01-02,1932,Horror
The Night Stalker,"Wisecracking reporter Carl Kolchak investigates a string of gruesome murders in Las Vegas. It seems that each victim has been bitten in the neck and drained of all their blood. Kolchak is sure that it is a vampire. He's hot on the trail, but nobody believes him. His editor thinks he's nuts and the police think he's a hindrance in the investigation, so Kolchak takes matters into his own hand.",1972-01-11,1972,Horror
Dracula,"After Jonathan Harker attacks Dracula at his castle (apparently somewhere in Germany), the vampire travels to a nearby city, where he preys on the family of Harker's fiancée. The only one who may be able to protect them is Dr. van Helsing, Harker's friend and fellow-student of vampires, who is determined to destroy Dracula, whatever the cost.",1958-05-22,1958,Horror
Abbott and Costello Meet Frankenstein,"Two hapless freight handlers find themselves encountering Dracula, the Frankenstein Monster and the Wolf Man.",1948-06-15,1948,Horror
What a Carve Up,"Ernie's Uncle Gabriel has just died but to claim his inheritance he must spend the night in the ancestral family home with the rest of his rather eccentric relatives. Ernie's imagination has been affected by his constant immersion in cheap horror novels, but his wildest fears turn out to be justified when the guests begin to drop dead.",1961-09-15,1961,Horror
Split,"Though Kevin has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher, there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him — as well as everyone around him — as the walls between his compartments shatter apart.",2017-01-19,2017,Horror
A Nightmare on Elm Street,"Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...",1984-11-14,1984,Horror
The Fly,"When Seth Brundle makes a huge scientific and technological breakthrough in teleportation, he decides to test it on himself. Unbeknownst to him, a common housefly manages to get inside the device and the two become one.",1986-08-15,1986,Horror
Godzilla,"Japan is thrown into a panic after several ships explode and are sunk near Odo Island. An expedition to the island led by paleontologist Professor Kyohei Yemani soon discover something more devastating than imagined in the form of a 50 meter tall monster whom the natives call Gojira. Now the monster begins a rampage that threatens to destroy not only Japan, but the rest of the world as well.",1954-11-03,1954,Horror
House,"Hoping to find a sense of connection to her late mother, Gorgeous takes a trip to the country to visit her aunt at their ancestral house. She invites her six friends, Prof, Melody, Mac, Fantasy, Kung Fu, and Sweet, to join her. The girls soon discover that there is more to the old house than meets the eye.",1977-08-26,1977,Horror
The Mad Doctor,"A dark and stormy night. Pluto is spirited away to the spooky mansion of an evil genius for a mad transplant scheme to put his head on the body of a chicken. Mickey gives chase, but find himself threatened severely by the house and its denizens.",1933-01-21,1933,Horror
Invasion of the Body Snatchers,"The first remake of the paranoid infiltration classic moves the setting for the invasion, from a small town to the city of San Francisco and starts as Matthew Bennell notices that several of his friends are complaining that their close relatives are in some way different. When questioned later they themselves seem changed, as they deny everything or make lame excuses. As the invaders increase in number they become more open and Bennell, who has by now witnessed an attempted ""replacement"", realises that he and his friends must escape or suffer the same fate. But who can he trust to help him and who has already been snatched?",1978-12-19,1978,Horror
The Phantom of the Opera,"A grotesquely disfigured composer known as ""The Phantom"" haunts Paris' opera house, where he's secretly grooming Christine Daae to be an opera diva. Luring her to his remote underground lair, The Phantom declares his love. But Christine loves Raoul de Chagny and plans to elope with him. When The Phantom learns this, he abducts Christine.",1925-09-22,1925,Horror
10 Rillington Place,"The story of British serial killer John Christie, who committed most or all of his crimes in the titular terraced house, and the miscarriage of justice involving Timothy Evans.",1971-02-10,1971,Horror
Manichitrathazhu,"A young couple, Ganga and Nakulan, arrives at the ancestral home called Madampalli of the latter. Hailing from a family that follows tradition and superstitions, Nakulan's uncle Thampi objects to the couple's idea of moving into the allegedly haunted mansion, which Nakulan ignores. The couple moves in anyway following which seemingly supernatural events begin to happen.",1993-12-25,1993,Horror
The Nightshifter,"Stênio, the nightshifter of a morgue, has the ability to communicate with the cadavers that are brought to him every night.",2019-10-10,2019,Horror
In the Mouth of Madness,"With the disappearance of hack horror writer Sutter Cane, all Hell is breaking loose...literally! Author Cane, it seems, has a knack for description that really brings his evil creepy-crawlies to life. Insurance investigator John Trent is sent to investigate Cane's mysterious vanishing act and ends up in the sleepy little East Coast town of Hobb's End.",1994-06-18,1994,Horror
Lucifer Rising,"Lucifer Rising is a short film by director Kenneth Anger. The film was completed in 1972 and starred British singer Marianne Faithfull, but only widely distributed in 1980. The film's soundtrack was composed by Bobby Beausoleil.",1974-04-10,1974,Horror
The Wailing,A stranger arrives in a little village and soon after a mysterious sickness starts spreading. A policeman is drawn into the incident and is forced to solve the mystery in order to save his daughter.,2016-05-12,2016,Horror
Santa Sangre,"A young man is confined in a mental hospital. Through a flashback we see that he was traumatized as a child, when he and his family were circus performers: he saw his father cut off the arms of his mother, a religious fanatic and leader of the heretical church of Santa Sangre (""Holy Blood""), and then commit suicide. Back in the present, he escapes and rejoins his surviving and armless mother.",1989-11-24,1989,Horror
Village of the Damned,"In a small English village everyone suddenly falls unconscious. When they awake every woman of child bearing age is pregnant. The resulting children have the same strange blond hair, eyes and a strong connection to each other.",1960-06-16,1960,Horror
Zombieland,"Columbus has made a habit of running from what scares him. Tallahassee doesn't have fears. If he did, he'd kick their ever-living ass. In a world overrun by zombies, these two are perfectly evolved survivors. But now, they're about to stare down the most terrifying prospect of all: each other.",2009-10-07,2009,Horror
Fortress,"After being kidnapped by four, masked men, a teacher and her students rebel by plotting against the criminals.",1985-11-24,1985,Horror
The Third Part of the Night,"Set during the Nazi occupation of Poland, in which Michal witnesses the murder of his mother, wife and child. He is hurled into a life that literally is not his own; a surreal world littered with trapdoors, doppelgängers and wormholes. It also tells the true untold story of a Nazi vaccine laboratory where Jews and members of the resistance were “employed” as feeders for parasites infected with typhus.",1971-12-17,1971,Horror
The Psychic,A woman with psychic powers has a vision of a murder that took place in a house owned by her husband.,1977-08-10,1977,Horror
The Vampire Doll,"A young man travels out into the countryside to meet his fiance, Yuko. When he arrives at the secluded house he is told by her mother that she has died in a car accident. He spends the night at the house and hears some strange sounds at night, even seeing someone that looks just like his dead love. Later he sees Yuko outside the house and follows her to a grave with her name. Cut to some days later where the young mans sister is worried since she hasnt heard from him in some time. She persuades her boyfriend to take her to the house, but is told that he already left. For the sake of proper plot development she doesnt believe Yukos mother and fakes the car breaking down so that they can investigate what really happened.",1970-07-04,1970,Horror
"Hush... Hush, Sweet Charlotte","An aging, reclusive Southern belle plagued by a horrifying family secret descends into madness after the arrival of a lost relative.",1964-12-15,1964,Horror
A New Life,"Seymour, a young American, arrives in a city in Eastern Europe. He's accompanied by Roscoe who has come to negotiate the buying and selling of men and women. Seymour encounters Melania, one of Boyan's 'girls'. Boyan controls the people smuggling trade. Fascinated, Seymour wants to possess Melania, but the price he has to pay is tremendous: betray Roscoe. Seymour accepts the deal. Roscoe is eaten by dogs. Seymour must then affront a new life.",2002-11-27,2002,Horror
The Bird with the Crystal Plumage,"While walking home one evening, Sam Dalmas, an American writer living in Rome, witnesses a violent struggle between a young woman and a black-coated figure in an art gallery.  Dalmas attempts to intervene but is caught between the gallery's electronically operated glass doors, leaving the woman bleeding from knife wounds.  Questioned by the police, the shocked author attempts to recall every detail regarding the incident.  Convinced that there is an aspect of the crime he cannot recall, Dalmas begins his own investigation - putting himself and his girlfriend Giulia in line as the killer's potential victims...",1970-02-27,1970,Horror
Nightwatch,"In order to finance his law studies, Martin starts as a night watchman in a mortuary. When the victims of a serial killer of prostitutes are deposited there, scary things begin to happen. Therefore and because of a strange bet with his fellow student Jens, the police begins to think he is the murderer. Police detective Wormer wants to help him but Martin is more and more suspected.",1994-02-25,1994,Horror
It,"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.",2017-09-06,2017,Horror
The House That Jack Built,"Failed architect, engineer and vicious murderer Jack narrates the details of some of his most elaborately orchestrated crimes, each of them a towering piece of art that defines his life's work as a serial killer for twelve years.",2018-10-04,2018,Horror
The Quiet Family,"A family decides to buy a lodge in a remote hiking area. Their first customer commits suicide and the distraught family buries his body to avoid the bad publicity. But their luck gets worse, the bodies start piling up, and the family becomes frantic to rectify the situation.",1998-04-25,1998,Horror
Zygote,"Stranded in an Arctic mine, two survivors are forced to fight for their lives against a new kind of terror.",2017-07-12,2017,Horror
The Promise,"Ib and Boum decide to commit suicide together in Bangkok in 1997. After reneging on the promise, the vengeful ghost of Ib returns 20 years later to haunt Boum and her 15 year old daughter, Bell.",2017-09-07,2017,Horror
Lasso,"The story of Simon and Kit, two young leaders of an Active Senior adventure tour group that take a day trip out to a small-town Rodeo located deep in the woods. Their lives are turned upside down when they find themselves fighting to stay alive against a group of psycho, bloodthirsty cowboys from the local rodeo.",2017-10-22,2017,Horror
Scream,"A killer known as Ghostface begins killing off teenagers, and as the body count begins rising, one girl and her friends find themselves contemplating the 'rules' of horror films as they find themselves living in a real-life one.",1996-12-20,1996,Horror
Blue Exorcist: The Movie,"The atmosphere in True Cross Academy is lively and boisterous in the days leading up to the grand festival held once every 11 years. During this time, Okumura Rin is entrusted with the responsibility of suppressing the berserk Phantom Train. In the midst of his mission, he meets a devil whose appearance is that of a young boy.",2012-12-28,2012,Horror
The Picture of Dorian Gray,"Posing for a portrait, Dorian Gray talks with Lord Henry Wotton, who says that men should pursue their sensual longings, but laments that only the young get to do so. Taken with the idea, Dorian imagines a scenario in which the painting will age as he stays youthful. His wish comes true, and his boyish looks aid him as he indulges his every whim. But when a stunning revelation forces him to see what he's become, Dorian faces some very dangerous questions.",1945-03-01,1945,Horror
Dracula,The legend of vampire Count Dracula begins here with this original 1931 Dracula film starring Bela Lugosi.,1931-02-12,1931,Horror
Singapore Sling,"Singapore Sling is chasing after Laura, a romantic memory from his past. One night he finds himself in a mysterious villa, watching two women bury a body. He falls into their trap and, in an atmosphere of isolation and decadence, the trio act out insane pleasure games and a ritual of blood and murder.",1990-09-13,1990,Horror
Benny's Video,"A 14-year-old video enthusiast is so caught up in film fantasy that he can no longer relate to the real world, to such an extent that he commits murder and records an on-camera confession for his parents.",1993-03-04,1993,Horror
Stree,"Set in the town of Chanderi, Stree is based on the urban legend of Nale Ba that went viral in Karnataka in the 1990s, and features Shraddha Kapoor and Rajkummar Rao in pivotal roles.",2018-08-31,2018,Horror
Carrie,"Carrie White, a shy and troubled teenage girl who is tormented by her high school peers and her fanatically religious mother, begins to use her powers of telekinesis to exact revenge upon them.",1976-11-03,1976,Horror
The Conjuring 2,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.,2016-05-13,2016,Horror
28 Days Later,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",2002-10-31,2002,Horror
Under the Blossoming Cherry Trees,A mountain man beheads his many wives to prove his love to an alluring woman he meets in an enchanted forest.,1975-05-31,1975,Horror
The Bad Seed,"Air Force Colonel Kenneth Penmark and his wife, Christine, dote on their daughter, Rhoda -- as does their lonely landlady, Monica Breedlove. But self-centered Rhoda has a secret tendency for selfishness and loves to accumulate gifts, whether given or stolen, in her room. Christine keeps her knowledge of her daughter's darker side to herself, but when a schoolmate of Rhoda's dies mysteriously, her self-deception unravels.",1956-09-12,1956,Horror
Dead Ringers,"Elliot, a successful gynecologist, works at the same practice as his identical twin, Beverly. Elliot is attracted to many of his patients and has affairs with them. When he inevitably loses interest, he will give the woman over to Beverly, the meeker of the two, without the woman knowing the difference. Beverly falls hard for one of the patients, Claire, but when she inadvertently deceives him, he slips into a state of madness.",1988-09-23,1988,Horror
Inland Empire,An actress's perception of reality becomes increasingly distorted as she finds herself falling for her co-star in a remake of an unfinished Polish production that was supposedly cursed.,2006-09-06,2006,Horror
Angel Heart,"Down-and-out private detective Harry Angel is ordered by the mysterious Louis Cyphre to go on a mission to find a missing person. His routine failure soon leads to a bloody spar with himself, as he goes on a supernatural journey into his own soul.",1987-03-06,1987,Horror
Empire of Passion,"A young man has an affair with an older woman. He is very jealous of her husband and decides that they should kill him. One night, after the husband had plenty of sake to drink and was in bed, they strangle him and dump his body down a well. To avert any suspicions, she pretends her husband has gone off to Tokyo to work. For three years the wife and her lover secretly see each other. Finally, suspicions become very strong and people begin to gossip. To make matters worse, her husband's ghost begins to haunt her and the law arrives to investigate her husband's disappearance.",1978-10-09,1978,Horror
